athlete_id,score_basustu,score_direkdibi,score_piyano,score_trim1,score_trim2,score_anayelken,score_dumen
Eren Ekinci #2,0.0428713,0.0325605,0.12696737,0.000247731,0.00010958672,0.07618966,4.0364735e-05
Ali Öztürk,0.8215348,0.053937573,0.016712224,0.034826703,0.88286555,0.35914126,0.033828415
Burak Ersoy,0.18628304,0.29880103,0.98389935,0.9973936,0.9919897,0.9983321,0.9132436
Cem Yıldız,0.08741975,0.92680544,0.06767198,0.00018462571,0.0007879704,0.19571127,0.00016219854
Eren Kaya,0.0675865,0.1632482,0.03668913,0.0053510517,0.013131419,0.99078804,0.0011723662
Yiğit Aydın,0.9156359,0.059181396,0.93310577,0.90279496,0.958479,0.8857529,0.24893412
Ceyda Tekin,0.045914963,0.8361403,0.24814479,0.0005724836,0.0005034028,0.16725059,0.00025222087
Yusuf Demir,0.3630297,0.038415354,0.05758316,0.00032953196,0.0014242369,0.031420603,9.677853e-05
Osman Duran,0.8035,0.000366054,0.79887617,0.6367725,0.750345,0.015859786,0.029057052
Uğur Taş,0.657681,0.016069962,0.92958206,0.61399454,0.44910794,0.16257893,0.069642045
Volkan Aydın,0.783869,0.0016753697,0.01070004,0.031323627,0.87924296,0.08693157,0.013195144
İlayda Arslan,0.8629405,0.069519,0.77356017,0.90114266,0.9589861,0.68202025,0.33817226
Sinan Yıldırım,0.55353963,0.06262139,0.30141178,0.0013652341,0.0020579689,0.020963231,0.00026497626
Damla Ersoy,0.2030692,0.1181602,0.0037231888,0.018837381,0.65265036,0.99094313,0.0064695245
Yasemin Aksoy,0.028371414,0.04751023,0.3616869,0.088168405,0.049109243,0.6972052,0.008262094
Serkan Demir,0.024009114,0.12238279,0.026516784,0.007278875,0.03800494,0.48618495,0.0056210835
Deniz Ersoy,0.040552944,0.26956084,0.027002241,0.3318822,0.80482095,0.99862075,0.187578
Zeynep Doğan,0.76920056,0.00023755283,0.15855505,0.0069698556,0.07164064,0.002950609,0.0009931594
Merve Erden,0.06827607,0.04259264,0.008370601,0.004577072,0.034625765,0.8934689,0.0022830649
Tuğçe Uzun,0.6274066,0.61451113,0.50282264,0.010314597,0.030122807,0.21408293,0.0066780318
Buse Aslan,0.328424,0.005847673,0.8323764,0.97779524,0.9827497,0.628714,0.57237834
Oğuz Taş,0.88098156,0.14866698,0.0053139743,0.006505012,0.61003757,0.9486659,0.00561945
Hakan Kılıç,0.9427512,0.12722315,0.03798832,0.0028406072,0.08815765,0.5711339,0.0011446472
Tolga Aksoy #2,0.299781,0.013852968,0.0020203076,0.013136098,0.90063846,0.58837914,0.00667327
Selin Öztürk,0.18056807,0.39374423,0.53282434,0.8782216,0.8835756,0.9713079,0.3443121
Pelin Ekinci,0.8369497,0.20728393,0.8399322,0.9866703,0.9959669,0.99852777,0.7060945
İpek Ermiş,0.8468647,0.109123,0.95947045,0.99901676,0.99952674,0.99458575,0.91007984
Volkan Şahin,0.45614704,0.15527508,0.014938446,0.008846937,0.16478848,0.82195497,0.0061531607
Yiğit Uzun,0.9203502,0.017308464,0.76800734,0.82542175,0.9386926,0.65434116,0.19010055
Uğur Doğan,0.6886118,0.037301436,0.8110946,0.9741975,0.9888313,0.65147537,0.6917462
Sude Kılıç,0.6092393,0.7589889,0.49657726,0.033326715,0.08046185,0.67067903,0.0066743884
Naz Aksoy,0.37466177,0.01157122,0.07740094,0.03788609,0.33350238,0.18535103,0.016050626
Yasemin Ersoy,0.4415099,0.12215064,0.95583874,0.99505746,0.98975056,0.9781708,0.77994514
Gülce Tahtasız,0.7952055,0.048122637,0.98405194,0.99737525,0.99828833,0.9728871,0.80408055
Uğur Duran #2,0.40539145,0.6153904,0.87309337,0.12869373,0.09454856,0.69613147,0.036553416
Ceyda Keskin,0.7794839,0.18619539,0.81710833,0.02277463,0.037452485,0.10086089,0.0041382597
Derya Uzun,0.8543714,0.17413351,0.4012383,0.9656384,0.9980123,0.9950505,0.5536147
Yusuf Uzun #2,0.3538234,0.020259291,0.97786546,0.91521657,0.54029375,0.58972025,0.124066666
Esra Ekinci,0.34659374,0.12863742,0.87117314,0.7875679,0.7018971,0.5492943,0.25250727
Kaan Demir #2,0.8186121,0.003947313,0.61742777,0.54096174,0.7097204,0.11834653,0.07166438
Emre Demir,0.41173425,0.038901687,0.4829152,0.00035148064,0.0004225274,0.0056180917,0.00011137097
Yiğit Taş,0.052612692,0.076711714,0.7562827,0.9988859,0.9981844,0.9975802,0.89629984
Ahmet Uzun,0.7927725,0.25680187,0.6456185,0.93740714,0.9863458,0.96467406,0.60208017
Hakan Güneş,0.2604461,0.0034770987,0.34882316,0.0009780877,0.0014079831,0.0069744047,0.0002040521
Deniz Ersoy #2,0.52123547,0.14892872,0.014102848,0.23148152,0.98406994,0.97778237,0.110433325
Ece Kaya,0.7831284,0.5134383,0.0103602875,0.024391156,0.8598813,0.94698274,0.025883434
Volkan Çelik,0.7993195,0.13603659,0.12824348,0.026715092,0.17000544,0.6103465,0.012833901
Can Avcı,0.7363082,0.7376041,0.006620744,5.3555336e-06,0.00040527486,0.19651659,4.828022e-06
Buse Aydın,0.04980007,0.010953846,0.09991111,0.16934788,0.48101428,0.3585066,0.04680205
Deniz Kurt,0.28373438,0.009199933,0.018918347,0.0234009,0.54355353,0.16637707,0.024626227
Kaan Çelik,0.38699824,0.00051071093,0.19807746,0.0012691335,0.008427696,0.002478387,0.0002702299
Dilara Keskin,0.9002617,0.74881023,0.015877755,0.00028288047,0.020616738,0.3657621,0.00018322063
Emre Bozkurt,0.18862322,0.20743142,0.9831039,0.99200165,0.9383481,0.99457765,0.60980475
Kerem Ersoy,0.903789,0.013001814,0.0032379972,0.003640555,0.7267111,0.3757772,0.0025581147
Osman Tekin,0.12268657,0.33405787,0.71629727,0.9863841,0.9883547,0.99665064,0.8648387
Uğur Yılmaz,0.95458245,0.0038038439,0.0017644084,0.051763345,0.9919378,0.60623413,0.013393825
İlayda Öztürk,0.55776167,0.88424575,0.6601402,0.12588747,0.31067032,0.9449286,0.023733817
Ayşe Yıldız,0.7424459,0.036871847,0.055971354,0.77394664,0.99530834,0.8984894,0.17715603
Tuğçe Yıldırım,0.8641381,0.039643116,0.19871934,0.0015974081,0.018739112,0.050028075,0.0006444225
Damla Erden,0.3075919,0.7254664,0.14144239,0.0016669482,0.008251388,0.194512,0.0015695543
Elif Kurt,0.32413855,0.10169771,0.19289464,0.069850795,0.15448661,0.87069327,0.01404106
Osman Güneş,0.5790077,0.33244824,0.004680032,0.00044012605,0.03633107,0.34372127,0.0004727188
Gül Koç,0.69545895,0.019738466,0.67706794,0.008513154,0.015783569,0.016445199,0.0019504479
Ömer Aksoy,0.018565478,0.030626182,0.004729222,3.5474052e-06,5.884559e-05,0.03938007,1.9108888e-06
Esra Ekinci #2,0.3605142,0.8434047,0.04158662,7.32561e-05,0.0008121503,0.20515579,6.510945e-05
Gül Koç #2,0.73469627,0.61292404,0.51246446,0.3086747,0.6988038,0.759936,0.07771986
Volkan Bozkurt,0.601422,0.7573163,0.8314866,0.6872033,0.83451724,0.98077637,0.30715254
Mert Taş,0.06358792,0.008393501,0.9008646,0.11128899,0.009647483,0.09820092,0.005442446
Can Öztürk,0.8094081,0.0031346898,0.15739699,0.5924984,0.95698905,0.27827072,0.11980183
Hakan Yıldırım,0.7828527,0.058088385,0.011255158,0.09095488,0.954305,0.8709973,0.061346345
Derya Şahin,0.58099824,0.03713774,0.970747,0.6273624,0.29149812,0.28995118,0.016668689
Selin Kılıç,0.30213702,0.82153434,0.030685203,0.00044644257,0.0074615683,0.17759643,0.0005185145
Ahmet Avcı,0.36770272,0.0019392218,0.9690326,0.29157093,0.096586645,0.018892683,0.010092021
Arda Yıldırım,0.90541935,0.24485624,0.010822925,0.0021841407,0.18319617,0.95812416,0.0015190858
Eren Bulut,0.076636635,0.073687434,0.8208336,0.1675525,0.025398994,0.41154367,0.01685478
Kerem Aslan,0.0003797953,0.03018161,0.22030152,0.84576255,0.17577884,0.9840862,0.09944474
Berk Taş,0.61341804,0.010518624,0.013815405,0.09116879,0.9720847,0.30852887,0.06886447
Volkan Taş,0.1790325,0.005693085,0.119344644,0.00038814344,0.0024702826,0.004359724,0.00013193261
Buse Demir,0.009697393,0.28626493,0.0011127123,0.0018052369,0.03707562,0.9418993,0.0010510595
Hakan Bulut,0.55648285,0.17275238,0.8974076,0.31109348,0.15025538,0.5516057,0.054657012
Mustafa Kurt,0.78782445,0.0051628063,0.017026553,0.13010545,0.9637553,0.24773256,0.051252685
Ceren Taş,0.11445283,0.0013609183,0.09831841,0.91985786,0.9898838,0.5301878,0.18937607
Hakan Polat,0.16609918,0.16944364,0.8372589,0.95557535,0.9297638,0.9013855,0.7203719
Elif Tekin,0.8347114,0.55363137,0.024053602,0.01875906,0.60058975,0.9814152,0.011711308
İrem Bulut,0.33312225,0.040286515,0.6060214,0.0008067264,0.00044170007,0.014141659,0.00014048305
Deniz Duran,0.29334557,0.0010075407,0.40351403,0.0015103589,0.0021345934,0.0046628006,0.00025083666
Tolga Kılıç,0.88810486,0.046619065,0.029572345,0.12915358,0.9389549,0.9320661,0.05511432
Yiğit Güneş,0.18919621,0.16546576,0.9678393,0.99633753,0.9896171,0.9848257,0.87846875
Eren Erden,0.018540442,0.00011687787,0.028437495,0.00080611865,0.00812675,0.004297233,0.00020765448
Mustafa Avcı,0.6807912,0.0178572,0.8866365,0.004444675,0.0020884492,0.013854192,0.000519171
Esra Koç,0.081904836,0.07746826,0.51141846,0.00043110023,0.00011964466,0.030989222,7.539071e-05
Tunç Kara,0.39857557,0.40888286,0.85517097,0.82590574,0.68207604,0.98548824,0.3326877
Yusuf Çelik,0.20817775,0.66471475,0.08920665,0.4758455,0.9662428,0.9973127,0.4315378
Serkan Kurt,0.95808697,0.15933627,0.29168203,0.3768017,0.91957444,0.9095506,0.052462716
