athlete_id,sex,age,height_cm,weight_kg,upper_watts,grip_kg,plank_sec,agility_ms,decision_ms,attention,years_exp,exp_dinghy,exp_keel,starts,penalties,basustu,direkdibi,piyano,trim1,trim2,anayelken,dumen
Ceyda Tekin,F,39,172,73,620,44,95,1060,411,82,1,1,1,9,2,0,1,0,0,0,0,0
Yusuf Demir,M,18,162,61,459,53,104,829,496,72,2,0,1,7,0,1,0,0,0,0,0,0
Osman Duran,M,37,191,88,296,45,131,702,433,99,4,0,1,15,1,1,0,0,1,1,0,0
Uğur Taş,M,28,160,71,399,46,133,727,383,94,4,1,1,10,0,1,0,1,1,1,0,0
Volkan Aydın,M,34,170,84,312,42,146,751,385,51,5,0,1,12,1,1,0,0,0,1,0,0
İlayda Arslan,F,25,176,70,464,44,200,863,401,90,5,1,0,6,1,1,0,0,1,1,1,0
Sinan Yıldırım,M,21,189,94,501,47,112,878,395,70,1,0,1,11,1,1,0,0,0,0,0,0
Damla Ersoy,F,23,160,91,667,31,88,713,366,51,4,0,0,10,0,0,0,0,0,1,1,0
Yasemin Aksoy,F,25,186,67,532,34,64,796,356,76,3,1,0,10,2,0,0,1,0,0,1,0
Serkan Demir,M,37,175,81,478,50,90,1121,346,58,3,1,1,4,0,0,0,0,0,0,1,0
Deniz Ersoy,M,20,165,77,582,46,118,1059,304,50,6,0,0,13,0,0,1,0,0,0,1,0
Zeynep Doğan,F,33,179,86,278,43,191,865,333,60,3,1,1,10,0,1,0,0,0,0,0,0
Merve Erden,F,20,176,58,523,45,99,805,248,52,3,0,1,9,0,0,0,0,0,0,1,0
Tuğçe Uzun,F,35,168,78,577,47,128,818,344,72,2,0,0,14,0,1,1,1,0,0,0,0
Buse Aslan,F,31,175,82,352,40,119,892,290,75,6,1,0,18,1,1,0,1,1,1,0,1
Oğuz Taş,M,35,171,48,614,38,167,646,283,53,4,0,1,11,2,1,0,0,0,1,1,0
Hakan Kılıç,M,19,176,55,533,46,221,761,360,67,3,0,1,9,5,1,0,0,0,0,1,0
Tolga Aksoy #2,M,39,181,45,458,37,98,549,433,55,4,1,0,16,0,0,0,0,0,1,1,0
Selin Öztürk,F,20,190,66,563,48,100,859,405,84,5,1,0,13,2,0,1,0,1,1,1,0
Pelin Ekinci,F,33,162,78,727,31,161,897,255,71,6,0,0,10,1,1,0,1,1,1,1,1
İpek Ermiş,M,26,196,88,518,53,147,727,290,92,7,1,0,7,1,1,0,1,1,1,1,1
Volkan Şahin,M,21,155,70,524,48,193,1036,406,64,4,1,1,12,1,0,0,0,0,0,1,0
Yiğit Uzun,M,18,173,89,454,47,143,616,291,71,4,1,1,11,0,1,0,1,1,1,1,0
Uğur Doğan,M,21,180,53,415,52,105,580,336,86,6,1,1,10,1,1,0,1,1,1,0,1
Sude Kılıç,F,18,177,49,583,58,143,833,383,91,3,0,1,16,2,1,1,1,0,0,1,0
Naz Aksoy,F,31,168,69,414,53,164,957,291,61,4,0,0,11,1,0,0,0,0,1,0,0
Yasemin Ersoy,F,38,172,74,507,30,152,1052,356,96,6,0,0,8,1,0,0,1,1,0,1,1
Gülce Tahtasız,F,33,170,69,452,34,140,731,269,98,6,1,1,12,1,1,0,1,1,1,1,1
Uğur Duran #2,M,37,169,45,547,40,162,961,313,91,3,1,1,9,1,0,0,1,0,0,1,0
Ceyda Keskin,F,25,183,68,533,45,166,794,369,87,2,1,1,10,1,1,0,1,0,0,0,0
Derya Uzun,F,24,178,54,603,49,175,774,254,67,8,1,1,5,1,1,1,0,1,1,1,1
Yusuf Uzun #2,M,20,168,78,448,39,145,932,376,94,4,1,1,9,0,0,0,1,1,1,0,0
Esra Ekinci,F,34,183,74,473,46,113,897,348,84,4,1,1,13,1,1,0,1,1,1,1,0
Kaan Demir #2,M,18,178,58,402,38,125,563,383,79,4,1,1,9,2,1,0,1,1,1,0,0
Emre Demir,M,33,183,63,455,40,168,1021,363,73,1,0,1,11,1,0,0,1,0,0,0,0
Yiğit Taş,M,29,181,57,537,33,87,1007,431,91,10,0,1,13,1,0,0,0,1,0,1,0
Ahmet Uzun,M,36,166,69,575,37,134,706,357,79,6,1,0,11,0,1,0,1,1,1,1,1
Hakan Güneş,M,39,169,81,407,34,104,859,324,63,1,1,1,11,0,1,0,0,0,0,0,0
Deniz Ersoy #2,M,39,182,58,586,37,121,874,357,55,8,1,0,5,0,1,0,0,0,1,1,0
Ece Kaya,F,31,181,76,635,53,171,839,382,52,6,0,0,7,0,1,1,0,0,1,1,0
Volkan Çelik,M,23,174,63,541,37,127,717,352,65,3,0,1,2,3,1,0,0,0,0,1,0
Can Avcı,M,23,176,60,687,66,121,699,352,56,0,1,1,14,0,1,1,0,0,0,0,0
Buse Aydın,F,30,187,68,422,48,65,796,307,63,4,1,0,17,0,0,0,0,0,1,0,0
Deniz Kurt,M,36,169,57,375,46,149,975,310,58,5,0,0,9,0,0,0,0,0,1,0,0
Kaan Çelik,M,39,180,63,322,38,145,881,265,64,2,0,1,10,0,1,0,0,0,0,0,0
Dilara Keskin,F,25,172,55,649,50,206,744,454,70,2,0,0,8,1,1,1,0,0,0,0,0
Emre Bozkurt,M,19,172,93,565,40,107,915,275,84,4,0,1,15,0,0,0,1,1,1,1,0
Kerem Ersoy,M,38,185,70,494,45,128,500,308,51,3,1,1,13,0,1,0,0,0,0,1,0
Osman Tekin,M,18,183,61,527,65,129,972,306,76,7,0,1,10,2,0,0,1,1,1,1,1
Uğur Yılmaz,M,32,183,72,387,44,183,539,403,51,7,0,0,11,2,1,0,0,0,1,0,0
İlayda Öztürk,F,18,188,68,744,54,116,745,332,84,3,1,0,8,0,1,1,1,0,0,1,0
Ayşe Yıldız,F,22,175,67,512,39,131,632,424,67,7,0,1,7,3,1,0,0,1,1,1,0
Tuğçe Yıldırım,F,33,181,77,510,44,144,605,309,63,1,0,0,10,1,1,0,0,0,0,0,0
Damla Erden,F,36,171,79,572,59,127,974,366,69,2,0,0,8,1,0,1,0,0,0,0,0
Elif Kurt,F,21,178,63,548,39,102,729,299,67,3,1,0,13,4,1,0,0,0,0,1,0
Osman Güneş,M,20,173,63,522,59,127,851,478,59,3,0,0,10,1,1,0,0,0,0,1,0
Gül Koç,F,34,175,66,420,50,162,792,278,74,2,1,0,9,0,1,0,1,0,0,0,0
Ömer Aksoy,M,34,180,42,547,40,78,871,368,51,0,1,0,6,1,0,0,0,0,0,0,0
Esra Ekinci #2,F,29,166,51,688,50,125,811,388,74,1,0,0,10,1,1,1,1,0,0,0,0
Gül Koç #2,F,31,195,86,634,52,91,607,374,82,3,0,1,20,0,0,1,1,0,0,1,0
Volkan Bozkurt,M,38,164,89,659,49,167,949,338,85,4,0,0,8,0,0,1,1,1,1,1,0
Mert Taş,M,23,162,67,448,32,59,725,342,80,3,0,0,7,0,0,0,1,0,0,0,0
Can Öztürk,M,20,186,76,401,39,97,566,352,63,5,1,0,7,2,0,0,0,0,1,0,1
Hakan Yıldırım,M,26,182,73,487,43,135,735,341,50,6,0,0,9,0,1,0,0,0,1,1,0
Derya Şahin,F,22,181,106,505,44,182,1025,407,95,3,0,0,8,0,0,0,0,0,0,1,0
Selin Kılıç,F,34,181,83,609,49,117,927,482,65,2,0,0,13,0,0,1,0,0,0,0,0
Ahmet Avcı,M,31,174,68,330,46,97,747,316,95,3,1,0,9,0,0,0,1,0,0,0,0
Arda Yıldırım,M,38,166,58,652,34,195,747,267,52,3,0,0,13,1,1,0,0,0,0,1,0
Eren Bulut,M,20,175,50,484,48,62,751,344,84,3,0,1,11,0,0,0,1,0,0,1,0
Kerem Aslan,M,18,168,72,457,49,32,1111,504,90,6,1,0,12,0,0,0,0,1,0,1,0
Berk Taş,M,37,184,60,398,49,137,857,301,55,7,1,0,13,0,1,0,0,0,1,0,0
Volkan Taş,M,38,173,52,334,53,99,864,448,74,2,0,0,17,1,0,0,0,0,0,0,0
Buse Demir,F,18,166,62,582,51,79,954,450,62,4,0,0,8,0,0,1,0,0,1,1,0
Hakan Bulut,M,20,171,57,507,48,148,835,316,83,3,0,1,8,0,1,0,1,0,0,1,0
Mustafa Kurt,M,35,179,90,371,44,129,761,384,57,6,0,1,13,1,1,0,0,0,1,0,0
Ceren Taş,F,27,169,80,370,31,97,770,447,70,8,0,1,10,0,0,0,0,1,1,0,0
Hakan Polat,M,39,166,69,466,48,68,789,327,83,5,1,1,9,2,0,0,1,1,1,1,1
Elif Tekin,F,20,177,87,666,46,154,794,337,53,4,1,1,13,1,1,1,0,0,1,1,0
İrem Bulut,F,25,177,70,474,47,146,909,315,74,1,0,1,12,2,0,0,1,0,0,0,0
Deniz Duran,M,31,169,59,349,34,116,807,289,64,2,0,1,15,0,1,0,0,0,0,0,0
Tolga Kılıç,M,35,170,88,475,36,193,909,311,53,5,1,1,8,1,0,0,0,0,1,1,0
Yiğit Güneş,M,32,177,76,472,53,77,787,276,94,5,0,1,7,2,0,0,1,1,1,1,1
Eren Erden,M,39,160,57,230,44,58,811,352,61,3,0,1,12,0,0,0,0,0,0,0,0
Mustafa Avcı,M,19,160,67,494,50,92,500,303,81,1,0,1,17,1,0,0,1,0,0,0,0
Esra Koç,F,27,167,59,476,45,118,937,364,81,1,0,1,9,0,0,0,1,0,0,0,0
Tunç Kara,M,19,172,53,569,45,129,851,256,77,4,0,1,9,0,1,1,1,1,1,1,0
Yusuf Çelik,M,34,178,81,684,52,110,949,369,62,8,1,1,14,1,0,1,0,0,1,1,1
Serkan Kurt,M,25,189,92,612,40,134,500,400,80,3,0,1,9,1,1,0,0,0,0,1,0
